Nom,Prenom,CodeEtudiant,CodeUE,Annee,Note
Jobs,Pio,2221016,HAI163,2024-2025,10.0
Bonaparte,Mary,2221062,HAI640,2024-2025,18.0
Martinez,Ricardo,2221600,HAI279,2024-2025,16.6
Leroy,Kylian,2221221,HAI884,2024-2025,10.9
Miller,Patricia,2221869,HAI541,2024-2025,13.0
Valjean,Pio,2221785,HAI522,2024-2025,13.0
Bros,Kylian,2221018,HAI657,2024-2025,16.9
Smith,Kylian,2221481,HAI647,2024-2025,17.7
Garcia,Mario,2221819,HAI963,2024-2025,14.1
Jobs,Linda,2221126,HAI232,2024-2025,11.7
Miller,Josselin,2221102,HAI925,2024-2025,19.5
Leroy,Mary,2221053,HAI676,2024-2025,18.8
Jobs,David,2221409,HAI550,2024-2025,15.1
Johnson,Kylian,2221015,HAI135,2024-2025,17.0
Williams,Kylian,2221259,HAI755,2024-2025,15.9
Rodriguez,Steve,2221122,HAI509,2024-2025,19.0
Rodriguez,Kevin,2221275,HAI664,2024-2025,15.8
Jones,Jennifer,2221733,HAI179,2024-2025,12.4
Bros,Steve,2221519,HAI273,2024-2025,12.2
Musk,Michael,2221793,HAI583,2024-2025,19.7
Musk,Luigi,2221212,HAI872,2024-2025,16.1
Rodriguez,Elizabeth,2221997,HAI282,2024-2025,10.1
Smith,Steve,2221778,HAI273,2024-2025,20.0
Brown,Rayman,2221496,HAI921,2024-2025,11.9
Martinez,Michael,2221166,HAI396,2024-2025,10.1
Martinez,Luigi,2221845,HAI134,2024-2025,10.1
Dupont,Rayman,2221031,HAI854,2024-2025,13.5
Rodriguez,John,2221180,HAI644,2024-2025,15.0
Jones,Mary,2221926,HAI825,2024-2025,13.0
Gates,Steve,2221946,HAI184,2024-2025,15.3
Gates,Kevin,2221693,HAI477,2024-2025,19.1
Jameson,Mary,2221702,HAI725,2024-2025,12.7
Musk,Florian,2221713,HAI919,2024-2025,18.6
Johnson,Steve,2221832,HAI492,2024-2025,17.0
Williams,Steve,2221794,HAI740,2024-2025,18.1
Williams,Kevin,2221968,HAI953,2024-2025,19.0
Gates,Elizabeth,2221943,HAI813,2024-2025,12.8
Martinez,Florian,2221436,HAI769,2024-2025,14.1
Davis,Florian,2221896,HAI985,2024-2025,12.5
Leroux,Ricardo,2221833,HAI923,2024-2025,18.3
Miller,Nicolas,2221457,HAI762,2024-2025,16.0
Gates,John,2221084,HAI533,2024-2025,18.6
Williams,John,2221124,HAI231,2024-2025,17.3
Davis,James,2221994,HAI529,2024-2025,19.5
Lefevre,Dorian,2221597,HAI873,2024-2025,11.3
Miller,Napoleon,2221782,HAI964,2024-2025,17.2
Jobs,Rayman,2221436,HAI690,2024-2025,12.2
Bonaparte,Dorian,2221119,HAI204,2024-2025,12.3
Jobs,Lebron,2221839,HAI194,2024-2025,14.8
Bourbon,Robert,2221329,HAI108,2024-2025,18.9
Valjean,Rayman,2221935,HAI877,2024-2025,11.7
Lefevre,Patricia,2221891,HAI882,2024-2025,14.6
Brown,Kylian,2221920,HAI844,2024-2025,12.7
Bourbon,James,2221562,HAI905,2024-2025,15.4
Musk,Nicolas,2221264,HAI132,2024-2025,20.0
Rodriguez,Donald,2221727,HAI451,2024-2025,18.8
Miller,Pio,2221573,HAI918,2024-2025,17.8
Lefevre,Josselin,2221195,HAI314,2024-2025,13.6
Leroux,Luigi,2221186,HAI933,2024-2025,11.5
Brown,Mary,2221911,HAI586,2024-2025,17.7
Dupont,Mary,2221274,HAI418,2024-2025,14.5
Trump,Robert,2221681,HAI591,2024-2025,17.6
Gates,Donald,2221899,HAI575,2024-2025,10.6
Leroux,Florian,2221554,HAI688,2024-2025,14.6
Trump,James,2221388,HAI881,2024-2025,15.1
Davis,Mario,2221398,HAI230,2024-2025,12.2
Dough,Luigi,2221188,HAI818,2024-2025,18.4
Jones,Dorian,2221849,HAI628,2024-2025,17.1
Garcia,Steve,2221280,HAI728,2024-2025,11.5
Jobs,Jennifer,2221787,HAI972,2024-2025,15.8
Garcia,Kevin,2221761,HAI270,2024-2025,18.3
Rodriguez,Ricardo,2221029,HAI137,2024-2025,19.0
Dough,Florian,2221300,HAI204,2024-2025,12.4
Bros,Ricardo,2221551,HAI108,2024-2025,17.4
Garcia,Elizabeth,2221946,HAI444,2024-2025,10.8
Bourbon,Mario,2221271,HAI895,2024-2025,15.9
Smith,Ricardo,2221732,HAI759,2024-2025,11.9
Musk,Linda,2221316,HAI925,2024-2025,10.6
Garcia,John,2221283,HAI515,2024-2025,19.9
Musk,David,2221519,HAI252,2024-2025,11.2
Valjean,Mary,2221098,HAI131,2024-2025,11.9
Gates,Ricardo,2221156,HAI815,2024-2025,17.8
Martinez,David,2221013,HAI598,2024-2025,16.9
Lefevre,Napoleon,2221966,HAI216,2024-2025,17.3
Johnson,Ricardo,2221050,HAI742,2024-2025,11.6
Williams,Ricardo,2221086,HAI246,2024-2025,11.3
Lefevre,Robert,2221967,HAI295,2024-2025,19.9
Trump,Mario,2221662,HAI529,2024-2025,16.2
Rodriguez,Michael,2221154,HAI806,2024-2025,17.9
Rodriguez,Luigi,2221564,HAI857,2024-2025,14.8
Bonaparte,Robert,2221312,HAI919,2024-2025,11.4
Musk,Elon,2221159,HAI301,2024-2025,13.0
Miller,Rayman,2221933,HAI821,2024-2025,10.0
Leroux,Mario,2221228,HAI262,2024-2025,10.3
Bros,Luigi,2221781,HAI972,2024-2025,14.5
Lefevre,Pio,2221254,HAI108,2024-2025,18.3
Martinez,Elon,2221460,HAI618,2024-2025,10.4
Bonaparte,James,2221402,HAI806,2024-2025,19.0
Smith,Michael,2221117,HAI584,2024-2025,16.8
Smith,Luigi,2221640,HAI810,2024-2025,11.6
Leroy,Florian,2221980,HAI497,2024-2025,14.7
Dupont,Dorian,2221593,HAI530,2024-2025,17.6
Gates,Michael,2221359,HAI896,2024-2025,11.1
Gates,Luigi,2221318,HAI799,2024-2025,11.0
Bros,Florian,2221251,HAI420,2024-2025,17.8
Johnson,Michael,2221372,HAI200,2024-2025,19.5
Johnson,Luigi,2221529,HAI253,2024-2025,10.2
Williams,Michael,2221998,HAI584,2024-2025,12.9
Williams,Luigi,2221036,HAI208,2024-2025,15.7
Garcia,Donald,2221596,HAI640,2024-2025,14.8
Dough,Mario,2221835,HAI641,2024-2025,19.8
Smith,Florian,2221787,HAI429,2024-2025,16.2
Davis,Kylian,2221283,HAI451,2024-2025,17.7
Musk,Lebron,2221884,HAI166,2024-2025,18.7
Johnson,Florian,2221148,HAI829,2024-2025,17.7
Williams,Florian,2221226,HAI912,2024-2025,19.0
Jones,Robert,2221615,HAI463,2024-2025,19.7
Jameson,Robert,2221520,HAI535,2024-2025,12.5
Jobs,Dorian,2221430,HAI493,2024-2025,13.5
Jones,James,2221658,HAI410,2024-2025,10.1
Bourbon,Kylian,2221760,HAI307,2024-2025,13.6
Rodriguez,Nicolas,2221671,HAI141,2024-2025,15.9
Jameson,James,2221020,HAI290,2024-2025,11.9
Davis,Steve,2221641,HAI308,2024-2025,17.7
Garcia,Ricardo,2221708,HAI299,2024-2025,14.9
Davis,Kevin,2221648,HAI212,2024-2025,16.1
Martinez,Kevin,2221995,HAI247,2024-2025,13.1
Leroux,Elon,2221566,HAI633,2024-2025,17.7
Rodriguez,Napoleon,2221670,HAI456,2024-2025,11.8
Jobs,Patricia,2221577,HAI450,2024-2025,11.3
Martinez,Elizabeth,2221038,HAI445,2024-2025,16.7
Davis,Elizabeth,2221956,HAI960,2024-2025,11.7
Miller,Mary,2221303,HAI451,2024-2025,13.8
Gates,Nicolas,2221590,HAI564,2024-2025,14.1
Martinez,John,2221285,HAI400,2024-2025,15.6
